,OBJECTID,PARTICIPANT_CODE,FORMAL_PARTICIPANT_NAME,HA_PHN_NUM,HA_FAX_NUM,HA_EMAIL_ADDR_TEXT,EXEC_DIR_PHONE,EXEC_DIR_FAX,EXEC_DIR_EMAIL,PHAS_DESIGNATION,HA_LOW_RENT_SIZE_CATEGORY,HA_SECTION_8_SIZE_CATEGORY,HA_COMBINED_SIZE_CATEGORY,PHA_TOTAL_UNITS,SECTION8_UNITS_CNT,total_ph_units
3067,3068,TX244,Housing Authority of Mount Pleasant,9035722829,9035725434.0,smartin@mtpleasantha.com,9035722829.0,9035725434.0,smartin@mtpleasantha.com,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
390,391,NJ041,Highlands Housing Authority,7328722022,7322918743.0,ddzema@perthamboyha.org,7328263114.0,7328263111.0,ddzema@perthamboyha.org,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3661,3662,TX091,Housing Authority of Pottsboro,9035833336,9035832035.0,aminton@texoma.cog.tx.us,9035833336.0,9035832035.0,areider@texomahousing.org,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
405,406,NJ027,Princeton Housing Authority,6099243448,6099241663.0,,6099245795.0,,irvnew2@msn.com,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3083,3084,TX113,Housing Authority of Orange County,4099826442,4099837803.0,Garrett.C.Sauve@hud.gov,,,,Troubled Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
418,419,NJ218,Gloucester City Housing Authority,8564565772,8564566894.0,kmcgrathdunn@prd.net,8564861990.0,,Kmcgrathdunn@prd.net,Substandard Financial,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
422,423,NJ017,Summit Housing Authority,9082736413,9082733618.0,kkinard@morristownha.com,,,,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
424,425,NJ202,Buena Housing Authority,8566974852,8566972642.0,jjones@vha.org,8566914099.0,8566960481.0,jjones@vha.org,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1844,1845,TX318,Housing Authority of Marfa,4327294811,4327294214.0,marfapha@gmail.com,4327294811.0,4327294214.0,marfapha@gmail.com,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1871,1872,AL067,"Housing Authority of the City of Athens, Al",2562325300,2562325430.0,Larry@Athensha.org,2562325300.0,,larry@athensha.org,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1873,1874,GA061,Housing Authority of the City of Griffin,7702277657,7702277745.0,grif_ha@bellsouth.net,7702277657.0,7702277745.0,rdull@griffinhousingauthority.com,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
478,479,NY069,Glen Cove Public Housing Authority,5166713161,5167590240.0,EricW@glencoveha.com,5166713161.0,5167590240.0,EricW@glencoveha.com,Substandard Financial,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1881,1882,MI025,Belding Housing Commission,6167941740,6167944811.0,scarlson@beldinghousing.org,6167941740.0,6167944811.0,scarlson@beldinghousing.org,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
474,475,NY912,NYS Housing Finance Agency,2128720683,,ABergamo@nyhomes.org,2126884000.0,,Gary.Weinstock@nyshcr.org,,,VERY SMALL (0-49),MEDIUM HIGH (300-999),0,0,0
3709,3710,TX038,Housing Authority of Bonham,9035833336,9035832035.0,aminton@texoma.cog.tx.us,9035833336.0,9035832035.0,areider@texomahousing.org,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1897,1898,MI023,Greenville Housing Commission,6167547179,6167541393.0,lbrookman@greenvillehousing.org,6167547179.0,6167541393.0,lbrookman@greenvillehousing.org,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1937,1938,CA050,Housing Authority of the City of Paso Robles,8052384015,8052384036.0,dcooke@pasoroblesha.org,8052384015.0,,dcooke@pasoroblesha.org,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3644,3645,LA220,St. Mary Parish Council,9853840709,9853856457.0,akraemer@teche.net,9853840709.0,9853856457.0,jfirmin@teche.net,,,MEDIUM LOW (100-299),MEDIUM LOW (100-299),0,204,-204
433,434,NJ882,Garden State Episcopal CDC,2012099301,,jfarkas@cspnj.org,,,,,,VERY SMALL (0-49),SMALL (50-99),0,0,0
3095,3096,AR054,Housing Authority of the City of Wilson,8706558620,8706558031.0,rcollinsatoha@gmail.com,8706354980.0,8705631156.0,rcollinsatoha@gmail.com,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3088,3089,TX347,Housing Authority of Grandview,8178663373,8178662883.0,lescarney@grandviewpha.org,8178663373.0,8178662883.0,lescarney@grandviewpha.org,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1962,1963,MI007,Ecorse Housing Commission,3133819393,3133811508.0,ecorsehousingcommission@yahoo.com,3133819393.0,,ecorsehousingcommission@yahoo.com,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3100,3101,LA130,Housing Authority of Duson,3376546347,,dusonhousing@gmail.com,3376546347.0,3378730160.0,dusonhousing@gmail.com,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
494,495,NC016,Housing Authority of the City of Salisbury,7046361410,7046361433.0,brad@salisburyhousingauthority.com,7046361410.0,,brad@salisburyhousingauthority.com,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3710,3711,TX088,Housing Authority of Ector,9035833336,9035832035.0,aminton@texoma.cog.tx.us,9035833336.0,9035832035.0,areider@texomahousing.org,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
2982,2983,MI021,South Lyon Housing Commission,8106299500,8107145540.0,rbeale@4premier.net,8103489999.0,8107145540.0,rbeale@4premier.net,Substandard Financial,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
2536,2537,GA245,Housing Authority of the City of Covington,7707867739,7707846004.0,covha@bellsouth.net,7707867739.0,,gwilliams@covha.com,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
2520,2521,IA013,Low Rent Housing Agency Of Waverly,3193523394,3193520061.0,wlrha@mchsi.com,3193523394.0,3193520061.0,wlrha@mchsi.com,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
2516,2517,MS059,The Housing Authority of the City of West Point,6624952004,6624952005.0,Kaye@westpointhousing.net,6624952004.0,6624952005.0,Kaye@westpointhousing.net,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
2498,2499,WI117,Westby Housing Authority,6087841381,5075512068.0,dheyer@apmwi.net,6087841381.0,5075512068.0,dheyer@apmwi.net,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3774,3775,TX126,Housing Authority of Celeste,9035684296,9035684738.0,aminton@texoma.cog.tx.us,9035684712.0,9035684738.0,areider@texomahousing.org,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
2496,2497,FL012,HOUSING AUTHORITY OF AVON PARK,8634524432,8634525455.0,penny.pieratt@avonparkha.org,8634524432.0,8634525455.0,penny.pieratt@avonparkha.org,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
2490,2491,AL070,City of Union Springs Housing Authority,3347382650,3347388271.0,scarha@troycable.net,3345664495.0,3345664422.0,scarha@troycable.net,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3772,3773,TX108,Housing Authority of Howe,9035833336,9035832035.0,aminton@texoma.cog.tx.us,9035833336.0,9035832035.0,areider@texomahousing.org,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
2484,2485,KS081,Nicodemus Housing Authority,7858394484,7858394485.0,nicodemus@ruraltel.net,7852160547.0,,estherclark.ec@gmail.com,Troubled Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3765,3766,TX107,Housing Authority of Whitewright,9035833336,9035832035.0,aminton@texoma.cog.tx.us,9035833336.0,9035832035.0,areider@texomahousing.org,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3764,3765,AR103,Housing Authority of the City of Melbourne,8703685200,8703685203.0,kblevins@wrrha.com,8703685200.0,8703685203.0,kblevins@wrrha.com,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
2469,2470,GA083,Housing Authority of the City of Cairo,2293772065,2293778171.0,cairoha@windstream.net,2293772065.0,2293778171.0,cairoha@windstream.net,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3759,3760,TX139,Housing Authority of Gunter,9034335185,9034338039.0,aminton@texoma.cog.tx.us,9035833336.0,,areider@texomahousing.org,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3758,3759,TX115,Housing Authority of Tom Bean,9035833336,9035832035.0,aminton@texoma.cog.tx.us,9035833336.0,9035832035.0,areider@texomahousing.org,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
2431,2432,IL042,Mason County Housing Authority,3092100111,,cjibben@mchd.onmicrosoft.com,3092100111.0,,cjibben@mchd.onmicrosoft.com,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
2895,2896,NE102,Hemingford Housing Authority,3084875322,3084873309.0,housing@bbc.net,3084875322.0,3084873309.0,housing@bbc.net,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
2905,2906,CO014,Wellington Housing Authority,9704162910,9702210821.0,jbrewen@housingcatalyst.com,9704162917.0,9702210821.0,jbrewen@housingcatalyst.com,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
2248,2249,AZ021,Eloy Housing Authority,5204667162,5204664223.0,emmally@eloyha.com,,,,Troubled Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
2973,2974,AR046,Housing Authority of the City of Amity,8703425750,8703425113.0,amityhousingauth@windstream.net,4796752130.0,,housing72927@outlook.com,Troubled Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
2972,2973,LA095,Housing Authority of St. John the Baptist Parish,9853599037,9856510738.0,krobinson@stjohnha.org,9853599042.0,9856510738.0,krobinson@stjohnha.org,Troubled Performer,MEDIUM LOW (100-299),VERY SMALL (0-49),MEDIUM LOW (100-299),0,0,0
2285,2286,MI090,Iron River Housing Commission,2652655540,9062659572.0,stamhous@fast-air.net,9062655540.0,9062655540.0,ironriverhousing@outlook.com,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
2303,2304,TN064,Loudon Housing Authority,8654582061,8654586162.0,lhalori@bellsouth.net,8654582061.0,8654586162.0,lhalori@bellsouth.net,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3737,3738,TX092,Housing Authority of Ladonia,9065833336,9035832035.0,aminton@texoma.cog.tx.us,9035833336.0,9035832035.0,areider@texomahousing.org,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3711,3712,TX089,Housing Authority of Bells,9035833336,9035832035.0,aminton@texoma.cog.tx.us,9035833336.0,9035832035.0,areider@texomahousing.org,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
2939,2940,MS089,The Housing Authority of the City of Shelby,6623987141,6623987092.0,cityshelby@bellsouth.net,,,,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
2364,2365,FL061,DUNEDIN HOUSING AUTHORITY,7274615777,7274437056.0,abenitez@clearwaterhousingauth.org,7274615777.0,7274437056.0,abenitez@clearwaterhousingauth.org,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
2368,2369,AL166,Housing Authority of the City of Chickasaw,2514576841,2514579751.0,chick604@bellsouth.net,2514576841.0,2514579751.0,chick604@bellsouth.net,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
2926,2927,MI056,Coldwater Housing Commission,5172782660,5172799499.0,cgordon@coldwater.org,5172782660.0,5172799499.0,cgordon@coldwater.org,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
2919,2920,CO921,Colorado Housing Finance Authority,3032977312,3032970911.0,pboyd@chfainfo.com,3032977400.0,,bmiller@chfainfo.com,,,MEDIUM LOW (100-299),MEDIUM LOW (100-299),0,293,-293
2396,2397,AL136,Housing Authority of the Town of Ashland,2563542661,2563544047.0,aha@ashlandhdc.com,2563542661.0,2563544047.0,aha@ashlandhdc.com,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
2397,2398,FL074,Brooksville Housing Authority,3527544160,3527544168.0,tbeverly@hernandocounty.us,3527544160.0,3527544168.0,tbeverly@hernandocounty.us,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
239,240,RI013,Portsmouth Housing Authority,4016833173,4016822130.0,JDilley@PortsmouthHousing.org,4016833173.0,4016822130.0,JDilley@PortsmouthHousing.org,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3776,3777,LA231,Housing Authority of the Town of Iowa,3375826730,3375823280.0,iha231603@gmail.com,3375826730.0,3375823280.0,Iha231603@gmail.com,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3614,3615,AR252,Pulaski County Housing Agency,5013408230,5013408951.0,flove@pulaskicounty.net,5019822267.0,,director@jvillehousing.org,,,VERY SMALL (0-49),MEDIUM HIGH (300-999),0,0,0
3604,3605,TX133,Housing Authority of Princeton,9727343300,9727362341.0,aminton@texoma.cog.tx.us,9035833336.0,,areider@texoma.cog.tx.us,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
765,766,NE095,Falls City Housing Authority,4022454204,4022456126.0,anussbaum@fallscityhousing.org,4022454204.0,,anussbaum@fallscityhousing.org,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3274,3275,TX100,Housing Authority of City of Leonard,9035873385,9035873385.0,aminton@texoma.cog.tx.us,9035833336.0,,areider@texomahousing.org,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1331,1332,GA284,Northeast Georgia Housing Authority,7068869455,7068860268.0,negaha@negeorgiahousing.com,7068869455.0,,a.cothran@negeorgiahousing.com,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3277,3278,TX221,Housing Authority of Farmersville,9727826241,9727827119.0,aminton@texoma.cog.tx.us,9035833336.0,9035832035.0,aminton@texomahousing.org,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
781,782,NC027,Hendersonville Housing Authority,8286926175,8286930601.0,dbrow@hendersonvilleha.org,8286930497.0,8286390601.0,cstewart@hendersonvilleha.org,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1300,1301,GA097,Housing Authority of the City of Tallapoosa,7705742207,7705745918.0,tallapha@mindspring.com,7705742207.0,7705745918.0,tallapha@mindspring.com,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1286,1287,GA072,Housing Authority of the City of Eatonton,7064855361,7064857932.0,eha.eatonton@gmail.com,,,,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1278,1279,KS100,Housing Authority of the City of Herington KS,7852582510,7852582825.0,publichousing@att.net,7852582510.0,7852582825.0,publichousing@att.net,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1275,1276,IL027,Grundy County Housing Authority,8159426198,8159426289.0,gcha@gcha.us,8159426198.0,8159426289.0,bnewman@gcha.us,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
813,814,NC048,Maxton Housing Authority,9108443967,9108441998.0,tbethea@maxtonha.org,9108443967.0,9108441998.0,tbethea@maxtonha.org,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1272,1273,MN157,Housing & Redevelopment Authority Of Faribault,5073342222,5073840507.0,,5073330350.0,,dwanberg@ci.faribault.mn.us,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
815,816,NC052,Southern Pines Housing Authority,9106922042,9106922069.0,,9106922042.0,9106922069.0,klaviner@laurinburgha.org,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1251,1252,GA129,Housing Authority of the County of Lee,9124344500,9124344502.0,,2294344500.0,2294344502.0,wmyles@albanyha.com,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3314,3315,TX550,Bowie County Housing Authority,9036282951,9036288001.0,cal.davis@nbhatx.org,9032767900.0,9036288001.0,cal.davis@netxproperties.org,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
846,847,ND901,North Dakota Housing & Finance Agency,7013288080,7013288090.0,wglaser@nd.gov,7013288060.0,,dflohr@nd.gov,,,SMALL (50-99),SMALL (50-99),0,82,-82
894,895,MN211,CARVER COUNTY CDA,9524487715,9524486506.0,julief@carvercda.org,9524487715.0,9524486506.0,julief@carvercda.org,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1138,1139,IL901,Illinois Housing Development Authority,3128365200,3128322187.0,ExecutiveDirector@ihda.org,3128365200.0,,ExecutiveDirector@ihda.org,,,MEDIUM LOW (100-299),MEDIUM LOW (100-299),0,235,-235
1029,1030,WI044,Oconto Housing Authority,9208343003,9208342611.0,pleifker@gmail.com,9208343003.0,,pleifker@gmail.com,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
978,979,MN074,"HRA OF THE CITY OF MOUND, MINNESOTA",9524725078,9524729508.0,,9524720609.0,9524720620.0,erichoversten@cityofmound.com,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
974,975,NC169,Princeville Housing Authority,3369176119,3369176119.0,kcheshire@haws.org,3369176119.0,3369176119.0,kcheshire@haws.org,Troubled Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3369,3370,TX263,Marble Falls Housing Authority,8306934521,8306935128.0,mmayfield@txhf.org,8306934521.0,8306935128.0,mmayfield@txhf.org,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
964,965,MN103,"HRA OF HUTCHINSON, MINNESOTA",3205872168,3205873748.0,jflemming@hutchtel.net,3205872168.0,3205873748.0,jflemming@hutchtel.net,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1062,1063,GA200,Housing Authority of the City of Milledgeville,4784452880,4784452873.0,jcorcoran@mhahomes.org,6783081424.0,,jcorcoran@mhahomes.org,Troubled Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1370,1371,GA077,Housing Authority of the City of Cochran,4789346374,4789347751.0,cochranhousing@comsouth.net,4789346374.0,4789347751.0,keithm@comsouth.net,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1071,1072,GA106,Housing Authority of the County of Douglas,7709423121,7709422570.0,,,,,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
949,950,NC066,Burlington Housing Authority,3362268421,3362269635.0,bha@burlingtonha.org,3362268421.0,3362269365.0,bha@burlingtonha.org,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1117,1118,GA153,Housing Authority of the City of Summerville,7068573016,7068572453.0,,7068573016.0,7068572453.0,svilleha@windstream.net,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1119,1120,GA281,ETOWAH AREA CONSOLIDATED,7703821414,7703823799.0,rhonda@etowahha.org,7703821414.0,7703823799.0,rhonda@etowahha.org,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1120,1121,GA025,Housing Authority of the City of Cedartown,7707481650,7707481651.0,acook@cedartownha.com,7707481650.0,7707488271.0,acook@cedartownha.com,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3392,3393,LA123,Housing Authority of Winnfield,3186284960,3186284980.0,wnfld@winnfieldhousingauthority.com,3186284960.0,3186284980.0,brcollins@brcollins.com,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1134,1135,GA148,Housing Authority of the City of Dallas,7704453758,7704450889.0,dallasha@bellsouth.net,7704453758.0,7704450889.0,dallasha@bellsouth.net,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
950,951,NC031,Hertford Housing Authority,2524265663,2524261473.0,hhaa@embarqmail.com,2524265663.0,2524261473.0,hhaa@embarqmail.com,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1842,1843,GA099,Housing Authority of the City of Roswell,7709936226,7705520860.0,smarcelais@roswellhousing.org,7709936226.0,,smarcelais@roswellhousing.org,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3263,3264,AR095,Housing Authority of the City of Decatur,8707415522,8707419234.0,neal@nwregionalhousing.org,8707415522.0,8707419234.0,neal@nwregionalhousing.org,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1386,1387,SC060,HOUSING AUTHORITY OF ATLANTIC BEACH,8036177976,8036430069.0,clawton@aikenhousing.org,8036177978.0,,clawton@aikenhousing.org,Troubled Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
525,526,MD010,Housing Authority of Cambridge,4102286856,4102285553.0,houseauth@comcast.net,4102286856.0,4102285553.0,houseauthexedir@comcast.net,Substandard Financial,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1782,1783,GA202,Housing Authority of the City of Blue Ridge,7066325742,7066322406.0,mbluehous@tds.net,7066325742.0,7066322406.0,mbluehous@tds.net,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
539,540,GA089,Housing Authority of the City of Hawkinsville,4788923364,4787833493.0,hha@cstel.net,4788923364.0,4787833493.0,hha@cstel.net,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
3597,3598,TX093,Housing Authority of Honey Grove,9035833336,9035832035.0,aminton@texoma.cog.tx.us,9035833336.0,9035832035.0,areider@texomahousing.org,High Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1762,1763,CO038,Conejos County Housing Authority,7192745417,7192740417.0,karen@conejoshousing.org,7192745417.0,7192740417.0,karen@conejoshousing.org,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1758,1759,TN046,Columbia Housing and Redevelopment Corporatio,9313885203,9315408684.0,trent@chrc-tn.org,9313885203.0,9315408684.0,trent@chatoday.org,Standard Performer,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
1754,1755,UT015,Emery County Housing Authority,4353813580,4353813580.0,cindyd@emery.utah.gov,4353813580.0,,cindyd@emery.utah.gov,Substandard Financial,VERY SMALL (0-49),VERY SMALL (0-49),VERY SMALL (0-49),0,0,0
